Borough,CouncilDist,Food_Scrap_Drop_Off_Site_Name,Latitude,Location,Longitude,NTAName,Notes,Object ID,Operation_Day_Hours,Open_Months,Hosted_By,Website,boroCD,ct2010,point,Precinct
Queens,29,Forest Hills Green Team Hosted by MacDonald Park,40.722218,MacDonald Park,-73.846925,Forest Hills,"Not accepted: grains, bread, meat, bones, or dairy",128,Sundays 10:00 AM - 1:00 PM,April - January,Forest Hills Green Team,www.facebook.com/groups/foresthillsgreenteam,406,071100,POINT (-73.846925 40.722218),112
Bronx,14,Kingsbridge Heights Community Center:,40.877299,"3101 Kingsbridge Terrace, Bronx NY 10463",-73.900709,Van Cortlandt Village,"There will be a wheelbarrow/table in the upper garden for collection. Not accepted: meat, bones, dairy, or grains.",83,Wednesdays 12:00PM - 2:00PM,Year Round,Staff at Kingsbridge Heights Community Center,www.khcc-nyc.org,208,027700,POINT (-73.900709 40.877299),50
Queens,22,Astoria Pug: Newtown,40.762667,"30-36 41st Street, Astoria, NY",-73.915111,Astoria,"Not accepted: meat, bones, or dairy",14,Fridays 10:00AM - 4:30PM,Year Round,Astoria Pug,https://www.instagram.com/astoriapug/?hl=en,401,014900,POINT (-73.915111 40.762667),114
Manhattan,3,8th Ave & 23rd St,40.745331,"West 23rd Street at 8th Avenue, North side of W 23rd Street, just east of 8th Avenue",-73.998272,Hudson Yards-Chelsea-Flatiron-Union Square,"Not accepted: meat, bones, or dairy",51,Wednesdays 9:00AM - 2:00PM,Year Round,NYC Compost Project Hosted by LES Ecology Center,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,104,009100,POINT (-73.998272 40.745331),10
Staten Island,51,Staten Island Mall Greenmarket,40.583757,"Staten Island Mall, Marsh Ave & Ring Rd, Staten Island, NY 10314",-74.161931,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,"No meat, bones, or dairy accepted.",152,"Saturdays, 8:30am-1pm",Seasonal (closing Dec 18),SHCC,,502,027702,POINT (-74.161931 40.583757),121
Brooklyn,38,Los Colibríes Community Garden,40.6547305,"219 34th Street, Brooklyn 11232",-74.0018481,Sunset Park West,"Not accepted: meat, bones, dairy",64,Sundays 11 AM - 4 PM,Year Round,Los Colibríes Community Garden,https://www.facebook.com/jardin34/,307,008400,POINT (-74.00184809999996 40.654730500000035),72
Brooklyn,33,Transmitter Park Drop-Off,40.72969819,2 Greenpoint Ave and West Street,-73.96019967,Greenpoint,"No meat, dairy, fish. No BPI Plastic Products accepted.",37,"Sunday, 11:30AM-1:00PM",Year Round,North Brooklyn Compost Project,nbkcompost.org,301,056500,POINT (-73.96019966999995 40.72969819000008),94
Bronx,13,The Garden at Preston,40.8139813,"2780 Schurz Ave, The Bronx, NY 10465 (Intersection of Schurz Avenue and Huntington Avenue)",-73.8190803,Schuylerville-Throgs Neck-Edgewater Park,"Not accepted: meat, bones, or dairy",147,Tuesdays 4 PM - 7 PM,Year Round,Northeast Bronx Farmers Market Project,https://www.facebook.com/northeastbronxcommunityfarmersmarket/,210,013200,POINT (-73.81908029999994 40.81398130000008),45
Brooklyn,41,Farmers Garden,40.67465,1899 Bergen Street,-73.91823,Ocean Hill,"Not accepted: meat, bones, or dairy",32,Wednesdays & Sundays 11 AM - 2 PM,May - November,Volunteers at Farmers Garden,,316,030300,POINT (-73.91823 40.67465),73
Brooklyn,47,Avenue X at West Street,40.590444,"SW corner of Avenue X and West Street, in front of Rite Aide, across from P.S.216",-73.970333,Gravesend,"Not accepted: meat, bones, or dairy",142,Tuesdays 1:30 PM - 3:00 PM,Year Round,NYC Compost Project Hosted by LES Ecology Center,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,315,037402,POINT (-73.970333 40.590444),61
Bronx,17,Synergi Urban Farm 2.0,40.82914,"1211 Hoe Ave, Bronx, NY 10459",-73.89114,Morrisania-Melrose,"Not accepted: meat, bones, or dairy. Please chop and freeze your scraps when possible. Be prepared to empty your food  scraps into a bin. Try and bring your scraps in a brown paper bag instead of plastic.",96,Saturdays 1:00PM - 3:00PM,Year Round,GreenFeen OrganiX,https://www.facebook.com/holisticsynergi/,203,012500,POINT (-73.89114000000001 40.82914),42
Queens,22,Hellgate Farm,40.7690324,"14-33 30th Drive, Long Island City, NY 11102",-73.9298265,Old Astoria,,10,"December-February: Saturdays & Sundays, 08:00 AM-08:00 PM;",Year Round,Staff at Hellgate Farm,https://www.hellgatefarm.com/,401,007900,POINT (-73.92982649999993 40.76903240000007),114
Manhattan,3,Hudson River Park's Pier 84 at W. 44th St.,40.76346,Pier 84 at W. 44th St. near dog park,-74.00025,Clinton,"Not accepted: meat, bones, or dairy",110,Every day 7:00 am - 7:00 pm,Year Round,Staff at Hudson River Park,https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,104,012900,POINT (-74.00025 40.76346),18
Staten Island,49,H.E.A.L.T.H for Youths Skyline Community Garden,40.639901,1 Clyde Place,-74.0902865,West New Brighton-New Brighton-St. George,"Not accepted: meat, bones, or dairy",115,Saturdays 10:00AM - 11:00AM,Year Round,H.E.A.L.T.H for Youths Skyline Community Garden,www.health4youths.org,501,007700,POINT (-74.09028649999993 40.639901),120
Queens,29,The Compost Collective,40.71645,"The corner of Yellowstone Blvd, and Kessel Street Forest Hills, NY 11375",-73.85778,Rego Park,"Not accepted: meat, bones, or dairy",127,Saturdays 12:00PM - 2:00PM,Year Round (Except February),The Compost Collective,https://www.facebook.com/pg/thecompostcollective/about/?ref=page_internal,406,070300,POINT (-73.85778 40.71645),112
Bronx,16,170 Farm Stand,40.840005,Corner of East 170th Street and Townsend Avenue,-73.916636,West Concourse,"Remove all plastic, stickers, and zip ties before dropping off food scraps",100,"Wednesday, 2:30-5:00pm",July 14th - November 24th,New Settlement's Community Food Action Program,www.newsettlement.org,204,022300,POINT (-73.916636 40.840005),44
Queens,24,King Manor Museum,40.70216,"150-03 Jamaica Ave, Jamaica, NY 11432",-73.80445,Jamaica,"Not accepted: meat, bones, or dairy.",138,Fridays 10:00AM - 4:00PM; Saturdays 9:30AM - 2:30PM,Year Round,King Manor Museum,https://www.kingmanor.org/,412,024000,POINT (-73.80445 40.70216),103
Manhattan,2,Down to Earth Garden,40.7281,546 East 12th St,-73.979,Lower East Side,"We accept potted plants, clippings and flowers but please keep them separate from food scraps.",42,"Tuesdays:1:30-3:00pm, Thursday:3:30-6:00pm",Year Round,Down to Earth Garden,downtoearthgarden.org/,103,002800,POINT (-73.97900000000001 40.7281),9
Queens,25,CLOSED FOR THE SEASON: Farm Spot CSA,40.754004,33-50 82nd street,-73.885483,Jackson Heights,"Not Accepted: meat, bones, or dairy",27,Thursdays 5:30PM - 8:30PM,May 1 - December 3,Volunteers at Farm Spot,Farmspot.org,403,028300,POINT (-73.885483 40.754004),115
Manhattan,9,134th Street Farm,40.8138017,118 W 134th St,-73.9428691,Central Harlem North-Polo Grounds,"Not accepted: meat, bones, or dairy",132,24/7,Year Round,Harlem Grown,www.harlemgrown.org/volunteer,110,022600,POINT (-73.94286909999994 40.813801700000056),32
